video,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,target,Data,target_p001,target_p002,target_p003,target_p001_10,target_p002_10,target_p003_10
HVC4203,0.0,0.0,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,UNK,TEST,Other,Other,Other,0,0,0
HVC3480,0.0,0.05555555555555555,0.022222222222222227,0.03333333333333333,0.0,0.0,0.0,0.011111111111111113,0.1111111111111111,0.0,0.0,0.0,0.011111111111111113,0.0,0.06666666666666668,0.0,0.0,0.011111111111111113,0.011111111111111113,0.0,0.08888888888888889,0.0,0.0,0.07777777777777778,0.0,0.0,0.011111111111111113,0.04444444444444445,0.0,0.0,0.0,0.0,0.05555555555555555,0.07777777777777778,0.011111111111111113,0.0,0.0,0.011111111111111113,0.13333333333333333,0.04444444444444445,0.022222222222222227,0.0,0.0,0.011111111111111113,0.011111111111111113,0.0,0.0,0.06666666666666668,0.0,0.0,0,VALID,Other,Other,Other,0,0,0
HVC3183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.0,0.2,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.16,0.04,UNK,TEST,Other,Other,Other,0,0,0
HVC3004,0.0,0.0,0.011111111111111113,0.011111111111111113,0.0,0.0,0.0,0.0,0.022222222222222227,0.0,0.0,0.0,0.0,0.011111111111111113,0.0,0.06666666666666668,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.1,0.1111111111111111,0.0,0.022222222222222227,0.0,0.04444444444444445,0.04444444444444445,0.0,0.011111111111111113,0.022222222222222227,0.05555555555555555,0.011111111111111113,0.04444444444444445,0.011111111111111113,0.0,0.011111111111111113,0.022222222222222227,0.2111111111111111,0,TRAIN,Other,Other,Other,0,0,0
HVC6150,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.20833333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666666,0.0,0.0,0.0,0.0,0.0,0.04166666666666666,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.04166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666666,0.0,0,VALID,Other,Other,Other,0,0,0
HVC4455,0.0,0.03333333333333333,0.2,0.011111111111111113,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.022222222222222227,0.0,0.1,0.0,0.0,0.022222222222222227,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.011111111111111113,0.03333333333333333,0.011111111111111113,0.0,0.0,0.0,0.0,0.12222222222222222,0.08888888888888889,0.06666666666666668,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.011111111111111113,0.0,0,VALID,Other,Other,Other,0,0,0
HVC4723,0.0,0.08888888888888889,0.011111111111111113,0.0,0.0,0.0,0.0,0.08888888888888889,0.12222222222222222,0.0,0.0,0.0,0.022222222222222227,0.14444444444444446,0.0,0.05555555555555555,0.0,0.011111111111111113,0.04444444444444445,0.0,0.0,0.0,0.0,0.03333333333333333,0.011111111111111113,0.0,0.0,0.12222222222222222,0.0,0.0,0.0,0.011111111111111113,0.011111111111111113,0.0,0.0,0.022222222222222227,0.0,0.022222222222222227,0.03333333333333333,0.022222222222222227,0.022222222222222227,0.022222222222222227,0.0,0.0,0.011111111111111113,0.011111111111111113,0.0,0.022222222222222227,0.022222222222222227,0.011111111111111113,0,TRAIN,Other,Other,Other,0,0,0
HVC5439,0.0,0.022222222222222227,0.022222222222222227,0.04444444444444445,0.0,0.0,0.0,0.011111111111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111113,0.08888888888888889,0.0,0.022222222222222227,0.011111111111111113,0.0,0.04444444444444445,0.0,0.0,0.0,0.022222222222222227,0.0,0.0,0.011111111111111113,0.0,0.0,0.0,0.05555555555555555,0.07777777777777778,0.03333333333333333,0.0,0.1111111111111111,0.0,0.022222222222222227,0.05555555555555555,0.13333333333333333,0.011111111111111113,0.0,0.0,0.0,0.022222222222222227,0.011111111111111113,0.0,0.04444444444444445,0.022222222222222227,0.08888888888888889,UNK,TEST,Other,Other,Other,0,0,0
HVC3569,0.0,0.12222222222222222,0.011111111111111113,0.011111111111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.0,0.17777777777777778,0.0,0.0,0.0,0.0,0.011111111111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.04444444444444445,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.022222222222222227,0.0,0.011111111111111113,0.011111111111111113,0.37777777777777777,0.0,0.03333333333333333,0.0,0.0,0.0,0.011111111111111113,0.0,0.011111111111111113,0.011111111111111113,0.011111111111111113,0,VALID,Other,Other,Other,0,0,0
HVC2015,0.0,0.0,0.04444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222227,0.0,0.0,0.0,0.0,0.0,0.0,0.6444444444444445,0.0,0.0,0.0,0.0,0.0,0.022222222222222227,0.0,0.0,0.0,0.0,0.022222222222222227,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.04444444444444445,0.0,0.0,0.0,0.0,UNK,TEST,Other,Other,Other,0,0,0
